NO,MERK,TYPE,SN,NO INVENTARIS,KETERANGAN,LOKASI BMC,KONDISI,,,,
17,ACER,P166HQL,ETLTJ0D0102260C0258501,IT.002.0419.1.B050.00003,GUDANG IT,GUDANG IT,RUSAK,,,,
18,LG,W1643SV,012INJL5Z764,IT.002.1120.1.B050.00003,GUDANG IT,GUDANG IT,RUSAK,,,,
19,LG,19M38A,212INSE3T622,IT.002.1112.1.B050.00005,GUDANG IT,GUDANG IT,RUSAK,,,,
20,HP,LV1561w,CNC042PYR3,IT.002.1117.2.A010.00015,GUDANG IT,GUDANG IT,RUSAK,,,,
21,SPC,SM 19HD,SM 19HD,IT.002.0209.1.B050.00001,GUDANG IT,GUDANG IT,RUSAK,,,,
22,ACER,,4712842088462',IT.002.0211.1.B050.00011,GUDANG IT,GUDANG IT,RUSAK,,,,
23,COMPAQ,,CNC012PXTG,IT.002.1020.1.B050.00024,GUDANG IT,GUDANG IT,RUSAK,,,,
24,DELL,,CN-0657PN-64180-552-0A5B,IT.002.1020.1.B050.00047,GUDANG IT,GUDANG IT,RUSAK,,,,
25,COMPAQ,,CNC012Q0G6,IT.002.0318.1.B050.00007,GUDANG IT,GUDANG IT,RUSAK,,,,
26,ASUS,,E4LMTF026456,IT.002.0711.1.B050.00001,GUDANG IT,GUDANG IT,RUSAK,,,,
27,HP,,6CM32530J2,IT.002.0518.2.B050.00013,GUDANG IT,GUDANG IT,RUSAK,,,,
28,LENOVO,,4ML1489D43N0259,IT.002.0318.1.B050.00012,GUDANG IT,GUDANG IT,RUSAK,,,,
29,HP,,6CM325312V,IT.002.1020.1.B050.00045,GUDANG IT,GUDANG IT,RUSAK,,,,
30,ACER,,4712842088462',IT.002.1110.1.B050.00003,GUDANG IT,GUDANG IT,RUSAK,,,,
31,COMPAQ,,CNC003R8NJ,IT.002.0318.1.B050.00012,GUDANG IT,GUDANG IT,RUSAK,,,,
32,SPC,,190012203044891',IT.002.0208.1.B050.00001,GUDANG IT,GUDANG IT,RUSAK,,,,
33,HP,,6CM3253HWT,IT.002.0118.2.A010.00260,GUDANG IT,GUDANG IT,RUSAK,,,,
34,SPC,,190012209040869',IT.002.0810.1.B050.00001,GUDANG IT,GUDANG IT,RUSAK,,,,
35,HP,,6CM3121NSV,IT.002.0118.2.A010.00269,GUDANG IT,GUDANG IT,RUSAK,,,,
36,SPC,,190012203033050',IT.002.0522.1.B050.00022,GUDANG IT,GUDANG IT,RUSAK,,,,
37,,,CNC102RNKG,IT.002.0118.2.A010.00018,GUDANG IT,GUDANG IT,RUSAK,,,,
38,DELL,P2217H,CN-0M84D9-QDC00-85O-0P0L-A05,,EX PUSDAL,GUDANG IT,NORMAL,,,,
39,DELL,E1914Hc,CN-0657PN-64180-525-2F8B,IT.002.0818.1.B050.00002,EX LOKET BMA,GUDANG IT,NORMAL,,,,
40,HP,19Ka,CNC62909Y8,IT.002.0319.1.B050.00006,EX JJ SLW,GUDANG IT,NORMAL,,,,
41,LG,20MK400A,907INYD25010,,GUDANG IT,GUDANG IT,NORMAL,,,,
42,DELL,E1914Hc,CN-0657PN-64180-525-2VBB,IT.002.0418.2.B050.00010,GUDANG IT,GUDANG IT,,,,,
43,DELL,E1916HI,CN-0DFDMY-72872-58U-C9DU-A00,,EX KNA,GUDANG IT,NORMAL,,,,
44,ACER,X163WL,ETLHZ0C001008130524003,IT.002.0819.1.B050.00006,EX KNA,GUDANG IT,NORMAL,,,,
45,Dell,E1916HV,CN-0Y0YJ6-FCC00-827-A05U-A06,IT.002.1020.1.B050.00003,EX KNA,GUDANG IT,,,,,
46,Panasonic,TH-32L400G,TH-32L400GRB3320863,,,GUDANG IT,,,,,
47,Panasonic,TH-22E302G,TH-22E302G1708020625,,,,,,,,
48,acer,P166HQL,MMLTYSS0025510EED84201,IT.002.1020.1.B050.00038,EX PUSDAL,GUDANG IT,NORMAL,,,,
49,DELL,E1916HV,CN-0Y0YJ6-FCC00-827-A05U-A06,IT. 002.1020.1.B050.00003,EX KNA,GUDANG IT,NORMAL,,,,
50,Dell,E2020H,CN-07TR2H-QDC00-31V-10XI-A09,IT.002.0226.1.B050.00002,EX RUANG SERAYU ,GUDANG IT,NORMAL ,,,,
61,	AEVISION	,XR22PQR,2310180840,IT. 002.0418.2.B050.00011,,GUDANG IT,NORMAL,,,,
62,SPC,SM 19HD,190012203026799,IT.002.0522.1.B050.00013,,GUDANG IT,NORMAL,,,,
63,HP,,6CM3253148,IT. 002.0226.1.B050.00001,EX STL 52 KRR,GUDANG IT,NORMAL,,,,
64,ACER,K202HQL,MMT0CSS004842040B58509,IT.002.0419.1.B050.00011,,GUDANG IT,NORMAL,,,,
65,SPC,SM 19HD,190012203036145,IT.002.0422.1.B050.00009,,,NORMAL ,,,,
